Course,Description,Advertising and Promotions Managers,Marketing Managers,Public Relations Managers,Fundraising Managers,Market Research Analysts and Marketing Specialists,Search Marketing Strategists,Art Directors,Special Effects Artists and Animators,Producers and Directors,Media Programming Directors,Media Technical Directors/Managers,Music Directors and Composers,"News Analysts, Reporters, and Journalists",Public Relations Specialists,Editors,Audio and Video Technicians,Sound Engineering Technicians,"Camera Operators, Television, Video, and Film",Film and Video Editors,Advertising Sales Agents,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Camera and Photographic Equipment Repairers
MC 440 - Visual Media Analysis,Analysis of still and moving images for artistic and communicative purposes.,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1,23.1,23.1
MC 441 - Advanced Writing and Designing for Digital Media,Provides a comprehensive overview of both writing and designing for digital media.,21.0,21.0,21.0,21.0,21.0,21.0,28.0,28.0,28.0,28.0,28.0,28.0,21.0,21.0,21.0,28.0,28.0,28.0,21.0,21.0,21.0,28.0
MC 442 - Special Studies in Visual Communications,Special independent study in visual communications combining theory and practice.,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1,23.1,23.1
MC 443 - Narrative Media Production,Write and produce short narrative films and web series.,3.5,3.5,3.5,3.5,3.5,3.5,89.5,89.5,89.5,89.5,89.5,89.5,7.0,3.5,7.0,89.5,89.5,100.0,27.0,3.5,3.5,89.5
MC 447 - Photojournalism,Students learn to explore their communities with cameras.,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,86.0,7.0,86.0,7.0,7.0,7.0,86.0,7.0,7.0,27.0
MC 449 - Media Psychology,Media's short term and long term psychological effects.,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1,23.1,23.1
MC 451 - Research Methods in Mass Media,Examination of traditional and emerging concepts of research.,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1,23.1,23.1
MC 452 - New Media and Technology,Technological changes in the mass media.,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1,23.1,23.1
MC 453 - Transnational Media,"Focus on media ownership, content flow, cultural values, political power, and technological impact.",23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1,23.1,23.1
MC 454 - Documentary Media Production,Evolution of documentary filmmaking; emphasis on student production of original documentary films.,7.0,7.0,7.0,7.0,7.0,7.0,49.0,49.0,49.0,49.0,49.0,49.0,14.0,7.0,14.0,49.0,49.0,69.0,34.0,7.0,7.0,49.0
MC 455 - Media Ethics,"Critical examination and analysis of values, issues, and arguments associated with media functions.",23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1,23.1,23.1
MC 456 - Identity and Emerging Media,Students explore how people construct identities on various emerging media.,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1,23.1,23.1
MC 471 - Special Topics in Mass Media,Special and advanced topics in the mass media.,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1,23.1,23.1
MC 472 - Mass Media and Health,Focuses on media literacy in the area of health.,28.0,28.0,28.0,28.0,28.0,28.0,14.0,14.0,14.0,14.0,14.0,14.0,28.0,28.0,28.0,14.0,14.0,14.0,28.0,28.0,28.0,14.0
MC 475 - Advanced Mobile Media Design,Designing advanced mobile-based interactive multimedia applications.,14.0,14.0,14.0,14.0,14.0,14.0,42.0,42.0,42.0,42.0,42.0,42.0,14.0,14.0,14.0,42.0,42.0,42.0,14.0,14.0,14.0,42.0
MC 478 - International Advertising,Issues that affect advertising and communications in a global marketplace.,86.0,86.0,86.0,86.0,86.0,86.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,86.0,7.0,7.0,7.0,7.0,7.0,86.0,86.0,7.0
MC 481 - Internship/Senior Portfolio,Experience with professional media under joint supervision.,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1,23.1,23.1
MC 482 - Internship,Experience with professional media under joint supervision.,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1,23.1,23.1
MC 491 - Advanced Practices,Independent study in areas where student has completed all formal course work.,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1,23.1,23.1
MC 495 - Readings in Mass Media,Selected readings in depth with member of faculty.,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1,23.1,23.1
MC 499 - Independent Study,"Special projects, research, and independent study.",23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1,23.1,23.1
